coprose	:cop: :rose:
cowheart	:cow: :heart:
cowboy	:cow: :boy:
cowhouse	:cow: :house:
cowtongue	:cow: :tongue:
cowman	:cow: :man:
cowfish	:cow: :fish:
cowpunch	:cow: :punch:
cowbird	:cow: :bird:
cowbell	:cow: :bell:
cowfishes	:cow: :fish: :es:
cowgirl	:cow: :girl:
cowhand	:cow: :hand:
cowherb	:cow: :herb:
cancerous	:cancer: :o: :us:
bellona	:bell: :on: :a:
bellmanship	:bell: :man: :ship:
bellboy	:bell: :boy:
belles	:bell: :es:
bellhouse	:bell: :house:
bellbird	:bell: :bird:
bellman	:bell: :man:
bellon	:bell: :on:
bello	:bell: :o:
bella	:bell: :a:
batteryman	:battery: :man:
leonine	:leo: :nine:
churchman	:church: :man:
churchwoman	:church: :woman:
churches	:church: :es:
churchmanship	:church: :man: :ship:
boarfish	:boar: :fish:
boarfishes	:boar: :fish: :es:
boarship	:boar: :ship:
boatwoman	:boat: :woman:
boatman	:boat: :man:
boathouse	:boat: :house:
boatmanship	:boat: :man: :ship:
beerhouse	:beer: :house:
squirrelfish	:squirrel: :fish:
squirrelfishes	:squirrel: :fish: :es:
fireboxes	:fire: :b: :o: :x: :es:
firelock	:fire: :lock:
firebox	:fire: :b: :ox:
fireboy	:fire: :boy:
firebird	:fire: :bird:
firebug	:fire: :bug:
firehouse	:fire: :house:
firedragon	:fire: :dragon:
firetop	:fire: :top:
fireback	:fire: :back:
firemanship	:fire: :man: :ship:
firebrat	:fire: :b: :rat:
firebomb	:fire: :bomb:
fireboot	:fire: :boot:
fireboat	:fire: :boat:
firedog	:fire: :dog:
fireman	:fire: :man:
tigereyes	:tiger: :eyes:
tigerfishes	:tiger: :fish: :es:
tigerbird	:tiger: :bird:
tigerfish	:tiger: :fish:
soundboxes	:sound: :b: :o: :x: :es:
soundbox	:sound: :b: :ox:
dashes	:dash: :es:
blowfishes	:blowfish: :es:
taxibus	:taxi: :bus:
taximan	:taxi: :man:
taxies	:taxi: :es:
taxicorn	:taxi: :corn:
taxing	:taxi: :ng:
newspaperman	:newspaper: :man:
newspaperwoman	:newspaper: :woman:
anchorwoman	:anchor: :woman:
anchorites	:anchor: :it: :es:
anchorman	:anchor: :man:
loopback	:loop: :back:
poundman	:pound: :man:
poundcake	:pound: :cake:
roosterfish	:rooster: :fish:
roostership	:rooster: :ship:
violina	:violin: :a:
violino	:violin: :o:
mousees	:mouse: :es:
mousefishes	:mouse: :fish: :es:
mouseship	:mouse: :ship:
mousefish	:mouse: :fish:
mousebird	:mouse: :bird:
shirtdress	:shirt: :dress:
shirtman	:shirt: :man:
balloonfishes	:balloon: :fish: :es:
balloonfish	:balloon: :fish:
speakerphone	:speaker: :phone:
speakership	:speaker: :ship:
snailfish	:snail: :fish:
handmaid	:hand: :m: :a: :id:
handlock	:hand: :lock:
handbank	:hand: :bank:
handbell	:hand: :bell:
handbow	:hand: :bow:
handfish	:hand: :fish:
handclap	:hand: :clap:
handbooks	:hand: :books:
handgun	:hand: :gun:
handbook	:hand: :book:
handmade	:hand: :m: :a: :de:
handcar	:hand: :car:
barberfish	:barber: :fish:
barbera	:barber: :a:
barbero	:barber: :o:
whaleship	:whale: :ship:
whalebird	:whale: :bird:
whalebone	:whale: :b: :one:
whaleboat	:whale: :boat:
whalebones	:whale: :b: :on: :es:
whaleback	:whale: :back:
whaleman	:whale: :man:
eurous	:euro: :us:
eurodollar	:euro: :dollar:
oceanous	:ocean: :o: :us:
oceanid	:ocean: :id:
oceanus	:ocean: :us:
muscleman	:muscle: :man:
camelback	:camel: :back:
cameloid	:camel: :o: :id:
camelman	:camel: :man:
rosefish	:rose: :fish:
rosemaries	:rose: :m: :aries:
rosefishes	:rose: :fish: :es:
roseous	:rose: :o: :us:
banknotes	:bank: :notes:
bankbooks	:bank: :books:
bankbook	:bank: :book:
bankman	:bank: :man:
skives	:ski: :v: :es:
skiv	:ski: :v:
skimback	:ski: :m: :back:
skimo	:ski: :m: :o:
skibob	:ski: :b: :o: :b:
skioring	:ski: :o: :ring:
skim	:ski: :m:
skies	:ski: :es:
pillbox	:pill: :b: :ox:
pillboxes	:pill: :b: :o: :x: :es:
pillaring	:pill: :a: :ring:
dartoid	:dart: :o: :id:
dartrose	:dart: :rose:
dartman	:dart: :man:
giftbook	:gift: :book:
coolamon	:cool: :a: :m: :on:
coolaman	:cool: :a: :man:
coolant	:cool: :ant:
coolhouse	:cool: :house:
clapcake	:clap: :cake:
clapbread	:clap: :bread:
noseherb	:nose: :herb:
nosebone	:nose: :b: :one:
cornus	:corn: :us:
corno	:corn: :o:
corncake	:corn: :cake:
cornbell	:corn: :bell:
cornbird	:corn: :bird:
cornhouse	:corn: :house:
cornuses	:corn: :us: :es:
cornamute	:corn: :a: :mute:
cornbread	:corn: :bread:
stewart	:stew: :art:
stewhouse	:stew: :house:
volcanoes	:volcano: :es:
wolffishes	:wolf: :fish: :es:
wolfram	:wolf: :ram:
wolfman	:wolf: :man:
wolffish	:wolf: :fish:
sweathouse	:sweat: :house:
sweatshirt	:sweat: :shirt:
sweatboxes	:sweat: :b: :o: :x: :es:
sweatbox	:sweat: :b: :ox:
tonguefish	:tongue: :fish:
tonguefishes	:tongue: :fish: :es:
tonguebird	:tongue: :bird:
tongueman	:tongue: :man:
tonguemanship	:tongue: :man: :ship:
octopuses	:octopus: :es:
hospitalman	:hospital: :man:
twoes	:two: :es:
bathhouse	:bath: :house:
bathes	:bath: :es:
bathman	:bath: :man:
sosa	:sos: :a:
soso	:sos: :o:
tennises	:tennis: :es:
questionaries	:question: :aries:
questionous	:question: :o: :us:
secreto	:secret: :o:
secreta	:secret: :a:
secretaries	:secret: :aries:
secretes	:secret: :es:
starstruck	:stars: :truck:
buses	:bus: :es:
busman	:bus: :man:
busboy	:bus: :boy:
backbend	:back: :b: :end:
backhand	:back: :hand:
backfire	:back: :fire:
backhouse	:back: :house:
backdoor	:back: :door:
backbit	:back: :b: :it:
backbones	:back: :b: :on: :es:
backup	:back: :up:
backus	:back: :us:
backbites	:back: :b: :it: :es:
backseat	:back: :seat:
backdate	:back: :date:
backbear	:back: :bear:
backswimmer	:back: :swimmer:
backbone	:back: :b: :one:
linkboy	:link: :boy:
linkman	:link: :man:
linkup	:link: :up:
earring	:ear: :ring:
earphone	:ear: :phone:
earbob	:ear: :b: :o: :b:
earshell	:ear: :shell:
earlock	:ear: :lock:
bugaboo	:bug: :a: :b: :o: :o:
